SRC	DST	REASON
a/memory_center/core/CLAUDE_MEMORY_SYSTEM.md	docs/CLAUDE_MEMORY_SYSTEM.md	out-of-zone
a/section/clc/commands/save.sh	scripts/save.sh	out-of-zone
a/section/clc/memory/active_memory.md	docs/active_memory.md	out-of-zone
auto_tunnel.zsh	scripts/auto_tunnel.zsh	out-of-zone
boss-api/README.md	docs/README.md	out-of-zone
boss-api/server.cjs.bak	.trash/251008_0257/server.cjs.bak	out-of-zone
boss-api/src/index.js	g/web/index.js	out-of-zone
boss-ui/README.md	docs/README.md	out-of-zone
boss-ui/index.html	g/web/index.html	out-of-zone
boss-ui/luka.html	g/web/luka.html	out-of-zone
boss-ui/public/js/chatbot_actions.js	g/web/chatbot_actions.js	out-of-zone
boss-ui/public/luka.html	g/web/luka.html	out-of-zone
boss-ui/src/styles.css	g/web/styles.css	out-of-zone
boss-ui/vite.config.js	g/web/vite.config.js	out-of-zone
boss/inbox/REPORT_2025-10-03_launchagent_audit.md	docs/REPORT_2025-10-03_launchagent_audit.md	out-of-zone
boss/inbox/goal_20251001_200016_luka_upgrade_multi_prompt_nlu.md	docs/goal_20251001_200016_luka_upgrade_multi_prompt_nlu.md	out-of-zone
boss/inbox/hello.md	docs/hello.md	out-of-zone
boss/sent/REPORT_2025-10-03_fastvlm_port_fix.md	docs/REPORT_2025-10-03_fastvlm_port_fix.md	out-of-zone
boss/sent/REPORT_2025-10-03_stream_mode_setup.md	docs/REPORT_2025-10-03_stream_mode_setup.md	out-of-zone
boss/sent/system_CHANGELOG-2025-10-04.md	docs/system_CHANGELOG-2025-10-04.md	out-of-zone
boss/sent/system_CODEX_INTEGRATION_DEPLOYMENT_VERIFICATION.md	docs/system_CODEX_INTEGRATION_DEPLOYMENT_VERIFICATION.md	out-of-zone
boss/sent/system_CURSOR_READINESS_2025-10-04.md	docs/system_CURSOR_READINESS_2025-10-04.md	out-of-zone
boss/sent/system_CURSOR_READINESS_2025-10-05.md	docs/system_CURSOR_READINESS_2025-10-05.md	out-of-zone
boss/sent/system_DUAL_MEMORY_READY_2025-10-04.md	docs/system_DUAL_MEMORY_READY_2025-10-04.md	out-of-zone
boss/sent/system_SNAPSHOT_2025-10-04.md	docs/system_SNAPSHOT_2025-10-04.md	out-of-zone
boss/sent/system_SYSTEM_STATE_2025-10-05_FULL.md	docs/system_SYSTEM_STATE_2025-10-05_FULL.md	out-of-zone
boss/sent/system_memory_snapshot_20251004_1920.md	docs/system_memory_snapshot_20251004_1920.md	out-of-zone
chat-launcher.html	g/web/chat-launcher.html	out-of-zone
chat-window.html	g/web/chat-window.html	out-of-zone
expose_gateways.sh	scripts/expose_gateways.sh	out-of-zone
f/ai_context/ai_context_entry.md	docs/ai_context_entry.md	out-of-zone
f/bridge/README.md	docs/README.md	out-of-zone
g/bridge/task_bus_bridge.py	scripts/task_bus_bridge.py	out-of-zone
g/connectors/mcp_anthropic.js	g/web/mcp_anthropic.js	out-of-zone
g/connectors/mcp_openai.js	g/web/mcp_openai.js	out-of-zone
g/manuals/CODEX_INTEGRATION_TEMPLATES.md	docs/CODEX_INTEGRATION_TEMPLATES.md	out-of-zone
g/scripts/health_proxy_launcher.sh	scripts/health_proxy_launcher.sh	out-of-zone
g/tools/automated_discovery_merge.sh	scripts/automated_discovery_merge.sh	out-of-zone
g/tools/autosave_dashboard.sh	scripts/autosave_dashboard.sh	out-of-zone
g/tools/clc_gate.sh	scripts/clc_gate.sh	out-of-zone
g/tools/cleanup_broken_agents.sh	scripts/cleanup_broken_agents.sh	out-of-zone
g/tools/context_engine.sh	scripts/context_engine.sh	out-of-zone
g/tools/embed_text.py	scripts/embed_text.py	out-of-zone
g/tools/emit_codex_truth.sh	scripts/emit_codex_truth.sh	out-of-zone
g/tools/emit_task_event.sh	scripts/emit_task_event.sh	out-of-zone
g/tools/fix_cursor_lag.sh	scripts/fix_cursor_lag.sh	out-of-zone
g/tools/fix_launchagent_paths.sh	scripts/fix_launchagent_paths.sh	out-of-zone
g/tools/install_master_prompt.sh	scripts/install_master_prompt.sh	out-of-zone
g/tools/mapping_drift_guard.sh	scripts/mapping_drift_guard.sh	out-of-zone
g/tools/mcp_fs_server.py	scripts/mcp_fs_server.py	out-of-zone
g/tools/mcp_fs_stub.py	scripts/mcp_fs_stub.py	out-of-zone
g/tools/mcp_health.sh	scripts/mcp_health.sh	out-of-zone
g/tools/model_router.sh	scripts/model_router.sh	out-of-zone
g/tools/ocr_typhoon.py	scripts/ocr_typhoon.py	out-of-zone
g/tools/path_resolver.sh	scripts/path_resolver.sh	out-of-zone
g/tools/quick_plist_audit.sh	scripts/quick_plist_audit.sh	out-of-zone
g/tools/smart_plist_fix.sh	scripts/smart_plist_fix.sh	out-of-zone
g/tools/task_bus_control.sh	scripts/task_bus_control.sh	out-of-zone
g/tools/taskwrap.sh	scripts/taskwrap.sh	out-of-zone
gateway/health_proxy.js	g/web/health_proxy.js	out-of-zone
index.html	g/web/index.html	out-of-zone
index_backup.html	g/web/index_backup.html	out-of-zone
index_optimized.html	g/web/index_optimized.html	out-of-zone
luka.html	g/web/luka.html	out-of-zone
luka_working.html	g/web/luka_working.html	out-of-zone
run/auto_context/mapping.keys.md	docs/mapping.keys.md	out-of-zone
run/daily_reports/REPORT_2025-10-01.md	docs/REPORT_2025-10-01.md	out-of-zone
run/daily_reports/REPORT_2025-10-02.md	docs/REPORT_2025-10-02.md	out-of-zone
run/daily_reports/REPORT_2025-10-03.md	docs/REPORT_2025-10-03.md	out-of-zone
run/deploy_self_healing_node.sh	scripts/deploy_self_healing_node.sh	out-of-zone
run/dev_debug_suite.sh	scripts/dev_debug_suite.sh	out-of-zone
run/dev_morning.sh	scripts/dev_morning.sh	out-of-zone
run/dev_up.sh	scripts/dev_up.sh	out-of-zone
run/dev_up_final.sh	scripts/dev_up_final.sh	out-of-zone
run/dev_up_simple.sh	scripts/dev_up_simple.sh	out-of-zone
run/dev_up_working.sh	scripts/dev_up_working.sh	out-of-zone
run/install_auto_recovery_launchagent.sh	scripts/install_auto_recovery_launchagent.sh	out-of-zone
run/morning_auto_check_drive_recovery.sh	scripts/morning_auto_check_drive_recovery.sh	out-of-zone
run/setup_self_healing_node.sh	scripts/setup_self_healing_node.sh	out-of-zone
run/smoke_api_ui.sh	scripts/smoke_api_ui.sh	out-of-zone
run/worklog/CU-2025-10-01.md	docs/CU-2025-10-01.md	out-of-zone
run_local.sh	scripts/run_local.sh	out-of-zone
setup/post_setup.sh	scripts/post_setup.sh	out-of-zone
test-results/g-tests-ui-ui.smoke-Luka-U-e2c6f--html-and-shows-key-widgets-chromium/error-context.md	docs/error-context.md	out-of-zone
verify_system.sh	scripts/verify_system.sh	out-of-zone
